STT,Khu vực,Mã khách hàng,Địa điểm viết tắt,Công ty,Địa chỉ,Xã/phường,Tỉnh
1,BN,SEV,SEV,CÔNG TY TNHH SAMSUNG ELECTRONICS VIỆT NAM (SEV),"KCN Yên Phong, Yên Trung, Bắc Ninh",Yên Trung,Bắc Ninh
2,BN,ALSB,ALSB,CÔNG TY TRÁCH NHIỆM HỮU HẠN ALS BẮC NINH,"KCN Yên Phong, Yên Trung, Bắc Ninh",Yên Trung,Bắc Ninh
3,BN,SDV,SDV,CÔNG TY TNHH SAMSUNG DISPLAY VIỆT NAM (SDV),"KCN Yên Phong, Yên Trung, Bắc Ninh",Yên Trung,Bắc Ninh
4,BN,ASGS,ASGS,CÔNG TY CỔ PHẦN DỊCH VỤ SÂN BAY SÀI GÒN (ASGS),"KCN Yên Phong, Yên Trung, Bắc Ninh",Yên Trung,Bắc Ninh
5,BN,CLC,CLC,CÔNG TY CỔ PHẦN TIẾP VẬN THẾ KỶ (CLC),"KCN Yên Phong, Yên Trung, Bắc Ninh",Yên Trung,Bắc Ninh
6,BN,ALSE,ALSE,CÔNG TY CỔ PHẦN ALS ĐÔNG HÀ NỘI (ALSE),"khu công nghiệp VSIP Bắc Ninh , Phù Chẩn, Từ Sơn, Bắc Ninh",Từ Sơn,Bắc Ninh
7,BN,VDS,QUẾ VÕ,CÔNG TY TNHH VDS VIỆT NAM,"KCN Quế Võ 1, Phường Vân Dương, Bắc Ninh",Vân Dương,Bắc Ninh
8,BN,FUYU,QUANG CHÂU,CÔNG TY TNHH TPCX FUYU,"KCN Quang Châu, Phường Nếnh, Tỉnh Bắc Ninh",Nếnh,Bắc Ninh
9,BN,DOEW,TỪ SƠN,CÔNG TY DOEW,"Phường Từ Sơn, Tỉnh Bắc Ninh",Từ Sơn,Bắc Ninh
10,BN,AMKOR,YÊN PHONG,CÔNG TY TNHH AMKOR TECHNOLOGY VIỆT NAM,"KCN Yên Phong II-C, Xã Yên Phong, Tỉnh Bắc Ninh",Yên Trung,Bắc Ninh
11,BN,FUSHAN,TỪ SƠN,CÔNG TY TNHH FUSHAN TECHNOLOGY VN,"Số 8, đường 6, KCN VSIP Bắc Ninh, Phường Từ Sơn, Tỉnh Bắc Ninh",Từ Sơn,Bắc Ninh
12,BN,RADIAN,YÊN PHONG,CÔNG TY TNHH RADIAN VIỆT NAM,"Nhà máy FA3 Cụm Fuji Precision, KCN Yên Phong, Xã Yên Phong, Tỉnh Bắc Ninh",Yên Trung,Bắc Ninh
13,BN,JPC,VÂN TRUNG,CÔNG TY TNHH JPC CONNECTIVITY,"Lô CN-10, KCN Vân Trung, Phường Nếnh, Tỉnh Bắc Ninh",Nếnh,Bắc Ninh
14,BN,COOLER,GIA BÌNH,CÔNG TY TNHH SẢN XUẤT COOLER MASTER,"Lô CN-04.1, KCN Gia Bình, Xã Đông Cứu, Bắc Ninh",Đông Cứu,Bắc Ninh
15,BN,FUKANG,QUANG CHÂU,CÔNG TY TNHH FUKANG TECHNOLOGY,"Lô I, KCN Quang Châu, Phường Nếnh và, Phường Nếnh, Tỉnh Bắc Ninh",Nếnh,Bắc Ninh
16,BN,KOSTAT,YÊN PHONG,CÔNG TY TNHH KOSTAT VINA,"Số 3A, 3B, lô CN02-1, KCN Yên Phong (Khu mở rộng), Xã Yên Trung, Tỉnh Bắc Ninh",Yên Trung,Bắc Ninh
17,BN,INTERPLEX,QUẾ VÕ,INTERPLEX PRECISION TECHNOLOGY (HANOI),"Lô VI-1.1, Đường D3, KCN Quế Võ II, Phường Đào Viên, Tỉnh Bắc Ninh",Đào Viên,Bắc Ninh
18,BN,TAIXIN,ĐẠI ĐỒNG,CÔNG TY TNHH TAIXIN PRINTING VINA,"Số 19, đường 11, KCN, Đô thị và Dịch vụ VSIP Bắc Ninh, Xã Đại Đồng, Tỉnh Bắc Ninh",Đại Đồng,Bắc Ninh
19,BN,NEFAB,YÊN PHONG,CÔNG TY TNHH NEFAB VIỆT NAM,"KCN Yên Phong, Xã Yên Trung, Tỉnh Bắc Ninh",Yên Trung,Bắc Ninh
