STT,Khu vực,Mã khách hàng,Địa điểm viết tắt,Tên công ty chi tiết,Địa chỉ
1,NBA,ACSV,ACSV,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG HÓA HÀNG KHÔNG VIỆT NAM,"Cảng hàng không Quốc tế Nội Bài, Nội Bài, Hà Nội"
2,NBA,NCTS,NCTS,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG HÓA NỘI BÀI (NCTS),"Cảng hàng không Quốc tế Nội Bài, Nội Bài, Hà Nội"
3,NBA,ALSC,ALSC,CÔNG TY CỔ PHẦN NHÀ GA HÀNG HÓA ALS,"Cảng hàng không Quốc tế Nội Bài, Nội Bài, Hà Nội"
5,NBA,DHL,DHL,CÔNG TY CỔ PHẦN GIAO NHẬN TOÀN CẦU DHL (VIỆT NAM),"Cảng hàng không Quốc tế Nội Bài, Nội Bài, Hà Nội"
6,NBA,ALSW,ALSW,CÔNG TY TNHH DỊCH VỤ KHO VẬN ALS (ALSW),"Cảng hàng không Quốc tế Nội Bài, Nội Bài, Hà Nội"
7,NBA,ASG,ASG,CÔNG TY CỔ PHẦN TẬP ĐOÀN ASG,"Cảng hàng không Quốc tế Nội Bài, Nội Bài, Hà Nội"
9,BN,SEV,SEV,CÔNG TY TNHH SAMSUNG ELECTRONICS VIỆT NAM (SEV),"KCN Yên Phong, Yên Trung, Bắc Ninh"
9,BN,ALSB,ALSB,CÔNG TY TRÁCH NHIỆM HỮU HẠN ALS BẮC NINH,"KCN Yên Phong, Yên Trung, Bắc Ninh"
10,BN,SDV,SDV,CÔNG TY TNHH SAMSUNG DISPLAY VIỆT NAM (SDV),"KCN Yên Phong, Yên Trung, Bắc Ninh"
11,BN,ASGS,ASGS,CÔNG TY CỔ PHẦN DỊCH VỤ SÂN BAY SÀI GÒN (ASGS),"KCN Yên Phong, Yên Trung, Bắc Ninh"
12,BN,CLC,CLC,CÔNG TY CỔ PHẦN TIẾP VẬN THẾ KỶ (CLC),"KCN Yên Phong, Yên Trung, Bắc Ninh"
14,BN,ALSE,ALSE,CÔNG TY CỔ PHẦN ALS ĐÔNG HÀ NỘI (ALSE),"khu công nghiệp VSIP Bắc Ninh , Phù Chẩn, Từ Sơn, Bắc Ninh"
14,BN,VDS,Quế Võ,CÔNG TY TNHH VDS VIỆT NAM,"KCN Quế Võ 1, Phường Vân Dương, Bắc Ninh"
17,TN,ASGL,ASGL,CÔNG TY CỔ PHẦN LOGISTICS ASG (ASGL),"Khu công nghiệp Yên Bình, Vạn Xuân, Thái Nguyên"
18,TN,SEMV,SEMV,SAMSUNG ELECTRO-MECHANICS VIỆT NAM (SEMV),"Khu công nghiệp Yên Bình, Vạn Xuân, Thái Nguyên"
19,TN,SEVT,SEVT,SAMSUNG ELECTRONICS VIỆT NAM (SEVT),"Khu công nghiệp Yên Bình, Vạn Xuân, Thái Nguyên"
19,TN,HEV,HEV,CÔNG TY TNHH HANSOL ELECTRONICS VIỆT NAM,"Khu công nghiệp Yên Bình, Vạn Xuân, Thái Nguyên"
20,TN,DAINESE,DAINESE,CÔNG TY TNHH DAINESE VIỆT NAM,"CN13-CN18 KCN Yên Bình, Phổ Yên, Thái Nguyên"
21,TN,HADANBI,ĐIỀM THỤY,CÔNG TY TNHH HADANBI VINA,"KCN Điềm Thụy,  Điềm Thụy, Thái Nguyên"
22,TN,SR TECH,SÔNG CÔNG,CÔNG TY TNHH SR TECH,"KCN Sông Công I, đường Cách Mạng Tháng 10, Bách Quang, Thái Nguyên"
23,TN,SHINSUNG,SHINSUNG,CÔNG TY TNHH SHINSUNG C&T VINA,"KCN Điềm Thụy,  Điềm Thụy, Thái Nguyên"
23,TN,DONGSUNG,DONGSUNG,CÔNG TY TNHH DONGSUNG VINA,"KCN Điềm Thụy, Thái Nguyên"
24,TN,JUWKANG,JUWKANG,CÔNG TY TNHH JUKWANG PRECISION VIỆT NAM,"KCN Điềm Thụy,  Điềm Thụy, Thái Nguyên"
