Stt,Hãng sx,Biển số xe,Tổng trọng tải (Tấn),Trọng tải cho phép (Tấn),"Số khối thực tế
(M3)",Kích thước lòng thùng xe (DxRxC) mm,,,Số cửa thùng xe,Xe của đối tác (Thuê khô),Ghi chú
,,,,,,Dài ,Rộng,Cao,,,
1,HINO,20C04640,"10,4","4,115","            42,79 ",6800,2420,2600,3,ASGT, 
2,HINO,20C05152,"10,4","5,76","            42,79 ",6800,2420,2600,3,ASGT, 
3,HINO,20C08846,"10,4","5,25","            40,34 ",6570,2380,2580,3,ASGT, 
4,HINO,20C04581,"10,4","5,055","            42,79 ",6800,2420,2600,3,ASGT, 
5,HINO,29E12490,"10,4","5,25","            40,34 ",6570,2380,2580,3,CLS, 
6,HINO,20C04368,"10,4","5,105","            42,79 ",6800,2420,2600,3,ASGT, 
7,HINO,20C06759,"10,4","5,25","            40,34 ",6570,2380,2580,3,ASGT, 
8,HINO,99H00948,"10,4","5,25","            40,34 ",6570,2380,2580,3,CLC, 
9,HINO,29H72338,"10,935","5,65","            41,48 ",6780,2390,2560,3,CLS, 
10,HINO,99H00988,"10,935","5,65","            41,48 ",6780,2390,2560,3,CLC, 
11,HINO,99H00973,"10,935","5,65","            41,48 ",6780,2390,2560,3,CLC, 
12,HINO,29E12091,"10,4","5,25","            40,34 ",6570,2380,2580,3,CLS, 
13,HINO,29E12067,"10,4","5,25","            40,34 ",6570,2380,2580,3,CLS, 
14,HINO,29E08433,"10,96","5,25","            40,34 ",6570,2380,2580,5,CLC, 
15,HINO,29E12041,"10,4","5,25","            40,34 ",6570,2380,2580,3,CLS, 
16,HINO,20C04240,"10,4","5,025","            42,79 ",6800,2420,2600,3,ASGT, 
17,HINO,20C04357,"10,4","5,015","            42,79 ",6800,2420,2600,3,ASGT, 
18,HINO,20C04607,"10,4","5,005","            42,79 ",6800,2420,2600,3,ASGT, 
19,HINO,20C04937,"10,4","5,045","            42,79 ",6800,2420,2600,3,ASGT, 
20,HINO,99H00933,"10,93","5,65","            41,48 ",6780,2390,2560,3,CLC, 
21,HINO,20C04820,"10,4","5,035","            42,79 ",6800,2420,2600,3,ASGT, 
22,HINO,20C09032,"10,4","5,25","            40,34 ",6570,2380,2580,3,ASGT, 
23,HINO,20C13806,"10,35","5,25","            40,34 ",6570,2380,2580,3,ASGT, 
24,HINO,29E08245,"10,4","5,25","            40,34 ",6570,2380,2580,3,CLS, 
25,HINO,20C08775,"10,4","5,25","            40,34 ",6570,2380,2580,3,ASGT, 
26,HINO,29E09564,"10,4","4,75","            40,18 ",6765,2400,2475,3,CLS, 
27,HINO,20C13642,"10,35","5,25","            40,34 ",6570,2380,2580,3,ASGT, 
28,HINO,29E09695,"10,35","5,25","            40,34 ",6570,2380,2580,3,CLC, 
29,ISUZU,20C04427,14,"5,5","            57,72 ",7600,2450,3100,1,ASGL, 
30,ISUZU,20C04429,14,"5,5","            57,72 ",7600,2450,3100,1,ASGL, 
31,ISUZU,20C05328,14,"5,305","            57,62 ",7600,2438,3110,1,ASGL, 
32,ISUZU,20C05338,14,"5,305","            57,62 ",7600,2438,3110,1,ASGL, 
33,ISUZU,20C05656,14,"5,305","            57,62 ",7600,2438,3110,1,ASGL, 
34,ISUZU,20C05592,14,"5,305","            57,62 ",7600,2438,3110,1,ASGL, 
35,HYUNDAI,29E12452,"16,435","6,8","            43,33 ",7200,2360,2550,5,CLS, 
36,HYUNDAI,99H00968,"16,435","6,8","            43,33 ",7200,2360,2550,5,CLC, 
37,HYUNDAI,99H00944,"16,435","6,65","            44,11 ",7330,2360,2550,5,CLC, 
38,HYUNDAI,29C20161,"16,435","6,65","            44,11 ",7330,2360,2550,5,CLS, 
39,HINO,29H81641,"15,14","6,7","            61,54 ",9980,2390,2580,4,CLS, 
40,HINO,99H01552,"15,14","6,7","            61,54 ",9980,2390,2580,4,CLC, 
41,HINO,99H01503,"15,14","6,7","            61,54 ",9980,2390,2580,4,CLC, 
42,HINO,99H01427,"15,14","6,7","            61,54 ",9980,2390,2580,4,CLC, 
43,HINO,99H01464,"15,14","6,7","            61,54 ",9980,2390,2580,4,CLC, 
44,HINO,99H00902,"14,75",7,"            52,53 ",8555,2380,2580,3,CLC, 
45,HINO,99H00904,"14,75",7,"            52,53 ",8555,2380,2580,3,CLC, 
46,HINO,99H00916,"14,75",7,"            52,53 ",8555,2380,2580,3,CLC, 
47,HINO,20C08678,"14,75",7,"            52,53 ",8555,2380,2580,3,ASGT, 
48,HINO,20C08515,"14,75",7,"            52,53 ",8555,2380,2580,3,ASGT, 
49,HINO,20C06704,"14,75",7,"            52,53 ",8555,2380,2580,3,ASGT, 
50,HINO,29H19555,15,"7,25","            52,53 ",8555,2380,2580,3,Thiên minh, 
51,HINO,29H19582,15,"7,25","            52,53 ",8555,2380,2580,3,Thiên minh, 
52,HINO,29H19179,15,"7,25","            52,53 ",8555,2380,2580,3,Thiên minh, 
53,HINO,29H19194,15,"7,25","            52,53 ",8555,2380,2580,3,Thiên minh, 
54,HINO,29H19892,"14,75",7,"            52,53 ",8555,2380,2580,3,Thiên minh, 
55,HINO,29H19883,"14,75",7,"            52,53 ",8555,2380,2580,3,Thiên minh, 
56,HINO,29H19900,"14,75",7,"            52,53 ",8555,2380,2580,3,Thiên minh, 
57,HINO,20C13238,"23,8","14,1","            55,12 ",9160,2360,2550,4,ASGT, 
